2026-02-15 10:07:55 | INFO     | apps.scheduler.tasks:168 | start_scheduler | Embedding computation job skipped (feature.embedding disabled)
2026-02-15 10:07:55 | INFO     | apps.scheduler.tasks:187 | start_scheduler | Event clustering job skipped (feature.event_clustering disabled)
2026-02-15 10:07:55 | INFO     | apps.scheduler.tasks:212 | start_scheduler | Topic discovery job skipped (feature.topic_radar disabled)
2026-02-15 10:07:55 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Crawl articles from all sources" to job store "default"
2026-02-15 10:07:55 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Cleanup old articles" to job store "default"
2026-02-15 10:07:55 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Backup articles before cleanup" to job store "default"
2026-02-15 10:07:55 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Cleanup duplicate articles" to job store "default"
2026-02-15 10:07:55 | INFO     | apscheduler.scheduler:214 | start | Scheduler started
2026-02-15 10:07:55 | INFO     | apps.scheduler.tasks:216 | start_scheduler | Scheduler started
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:507 | add_job | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:507 | add_job | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:507 | add_job | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:507 | add_job | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-15 10:21:39 | INFO     | apps.scheduler.tasks:150 | start_scheduler | AI processing job skipped (feature.ai_processor disabled)
2026-02-15 10:21:39 | INFO     | apps.scheduler.tasks:168 | start_scheduler | Embedding computation job skipped (feature.embedding disabled)
2026-02-15 10:21:39 | INFO     | apps.scheduler.tasks:187 | start_scheduler | Event clustering job skipped (feature.event_clustering disabled)
2026-02-15 10:21:39 | INFO     | apps.scheduler.tasks:212 | start_scheduler | Topic discovery job skipped (feature.topic_radar disabled)
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Crawl articles from all sources" to job store "default"
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Cleanup old articles" to job store "default"
2026-02-15 10:21:39 | INFO     | apscheduler.scheduler:1090 | _real_add_job | Added job "Backup articles before cleanup" to job store "default"
